english;Spanish
Word;Palabra
the;la
of;de
and;y
to;a
in;en
i;I
that;ese
was;estaba
his;su
he;‚l
it;eso
with;con
is;es
for;por
as;como
had;ten¡a
you;usted
not;no
be;ser
her;su
on;en
at;a
by;por
which;cuales
have;tengo
or;o
from;desde
this;esta
him;‚l
but;pero
all;todos
she;ella
they;ellos
were;fueron
my;mi
are;son
me;me
one;uno
their;su
so;asi que
an;un
said;dicho
them;ellos
we;nosotros
who;qui‚n
would;har¡a
been;estado
will;ser 
no;No
when;cuando
there;all¡
if;si
more;m s
out;fuera
up;hasta
into;en
do;hacer
any;alguna
your;tu
what;qu‚
has;posee
man;hombre
could;pudo
other;otro
than;que
our;Ntro
some;algunos
very;muy
time;hora
upon;sobre
about;sobre
may;mayo
its;su
only;solamente
now;ahora
like;me gusta
little;poco
then;entonces
can;lata
should;deber¡a
made;hecho
did;hizo
us;nosotros
such;semejante
a;a
great;estupendo
before;antes de
must;deber
two;dos
these;estos
see;ver
know;saber
over;sobre
much;mucho
down;abajo
after;despu‚s
first;primero
Mr;se¤or
good;bien
men;hombres
own;propio
never;nunca
most;m s
old;viejo
shall;deber 
day;d¡a
where;d¢nde
those;aquellos
came;lleg¢
come;venir
himself;‚l mismo
way;camino
work;trabaja
life;vida
without;sin que
go;Vamos
make;hacer
well;bien
through;a trav‚s de
being;siendo
long;largo
say;decir
might;podr¡a
how;c¢mo
am;soy
too;tambi‚n
even;incluso
def;def
again;otra vez
many;muchos
back;espalda
here;aqu¡
think;pensar
every;cada
people;gente
went;fue
same;mismo
last;£ltimo
thought;pensamiento
away;lejos
under;debajo
take;llevar
found;encontr¢
hand;mano
eyes;ojos
still;todav¡a
place;sitio
while;mientras
just;solo
also;adem s
young;joven
yet;todav¡a
though;aunque
against;contra
things;cosas
get;obtener
ever;alguna vez
give;dar
god;Dios
years;a¤os
off;apagado
face;rostro
nothing;nada
right;derecho
once;una vez
another;otro
left;izquierda
part;parte
saw;Sierra
house;casa
world;mundo
head;cabeza
three;Tres
took;cog¡
new;nuevo
love;amor
always;siempre
Mrs;Sra
put;poner
night;noche
each;cada
king;Rey
between;Entre
tell;contar
mind;mente
heart;coraz¢n
few;pocos
because;porque
thing;cosa
whom;qui‚n
far;lejos
seemed;pareci¢
looked;mir¢
called;llamado
whole;todo
de;Delaware
set;colocar
both;ambos
got;tiene
find;encontrar
done;hecho
heard;Escuch¢
look;Mira
name;nombre
days;dias
told;dijo
let;dejar
lord;se¤or
country;pa¡s
asked;pregunt¢
going;yendo
seen;visto
better;mejor
p;pag
having;teniendo
home;hogar
knew;supo
side;lado
something;algo
moment;momento
father;padre
among;entre
course;curso
hands;las manos
woman;mujer
enough;suficiente
words;palabras
mother;madre
soon;pronto
full;lleno
end;fin
gave;dio
room;habitaci¢n
almost;casi
small;peque¤o
thou;t£
cannot;no puedo
water;agua
want;querer
however;sin embargo
light;ligero
quite;bastante
brought;trajo
nor;ni
word;palabra
whose;cuyo
given;dado
door;puerta
best;mejor
turned;transformado
taken;tomado
does;hace
use;usar
morning;Ma¤ana
myself;yo mismo
Gutenberg;Gutenberg
felt;sinti¢
until;hasta
since;ya que
power;poder
themselves;ellos mismos
used;usado
rather;bastante
began;empez¢
present;regalo
voice;voz
others;otros
white;blanco
works;trabajos
less;menos
money;dinero
next;pr¢ximo
poor;pobre
death;muerte
stood;permaneci¢
form;formulario
within;dentro de
together;juntos
till;hasta que
thy;tu
large;grande
matter;importar
kind;tipo
often;a menudo
certain;cierto
herself;s¡ misma
year;a¤o
friend;amigo
half;mitad
order;orden
round;redondo
true;CIERTO
anything;cualquier cosa
keep;mantener
sent;enviado
wife;esposa
means;medio
believe;creer
passed;aprobado
feet;pies
near;cerca
public;p£blico
state;Expresar
son;hijo
hundred;centenar
children;ni¤os
thus;por lo tanto
hope;esperanza
alone;solo
above;sobre
case;caso
dear;Estimado
thee;El e
says;dice
person;persona
high;alto
read;leer
city;ciudad
already;ya
received;recibi¢
fact;hecho
gone;desaparecido
girl;muchacha
known;conocido
hear;o¡r
times;veces
least;menos
perhaps;quiz s
sure;Por supuesto
indeed;Por supuesto
english;ingl‚s
open;abierto
body;cuerpo
itself;s¡ mismo
along;a lo largo de
land;tierra
return;regreso
leave;salir
air;aire
nature;naturaleza
answered;respondido
either;cualquiera
law;ley
help;ayuda
lay;poner
point;punto
child;ni¤o
letter;letra
four;cuatro
wish;deseo
fire;fuego
cried;llorado
2;2
women;mujeres
speak;hablar
number;n£mero
therefore;por lo tanto
hour;hora
friends;amigos
held;sostuvo
free;libre
war;guerra
during;durante
several;varios
business;negocio
whether;ya sea
er;er
manner;manera
second;segundo
reason;raz¢n
replied;respondido
united;Unido
call;llamada
general;general
why;por qu‚
behind;detr s
became;se convirti¢
john;John
become;volverse
dead;muerto
earth;tierra
boy;ni¤o
lost;perdi¢
forth;adelante
thousand;mil
looking;mirando
I'll;voy a
family;familia
soul;alma
feel;sentir
coming;pr¢ximo
England;Inglaterra
spirit;esp¡ritu
question;pregunta
care;cuidado
truth;verdad
ground;suelo
really;De Verdad
rest;descanso
mean;significar
different;diferente
making;haciendo
possible;posible
fell;cay¢
towards;hacia
human;humano
kept;conserv¢
short;peque¤o
town;pueblo
following;siguiente
need;necesitar
cause;causa
met;reuni¢
evening;noche
returned;devuelto
five;cinco
strong;fuerte
able;capaz
french;franc‚s
live;En Vivo
lady;dama
subject;sujeto
sn;sn
answer;responder
sea;mar
fear;miedo
understand;comprender
hard;dif¡cil
terms;condiciones
doubt;duda
around;alrededor
ask;pedir
arms;brazos
turn;vuelta
sense;sentido
seems;parece
black;negro
bring;traer
followed;seguido
beautiful;hermosa
close;cerrar
dark;oscuro
hold;sostener
character;personaje
sort;clasificar
sight;vista
ten;diez
show;show
party;partido
fine;multa
ye;S.M
ready;Listo
story;historia
common;com£n
book;libro
electronic;electr¢nico
talk;hablar
account;cuenta
mark;Marcos
interest;interesar
written;escrito
can't;hipocres¡a
bed;cama
necessary;necesario
age;edad
else;dem s
force;fuerza
idea;idea
longer;m s extenso
art;Arte
spoke;habl¢
across;al otro lado de
brother;hermano
early;temprano
ought;deber¡a
sometimes;algunas veces
line;l¡nea
saying;dicho
table;mesa
appeared;aparecido
river;r¡o
continued;continuado
eye;ojo
ety;ETY
sun;sol
information;informaci¢n
later;m s tarde
everything;todo
reached;alcanz¢
suddenly;repentinamente
past;pasado
hours;horas
strange;extra¤o
deep;profundo
change;cambio
miles;millas
feeling;sentimiento
act;Actuar
meet;encontrarse
paid;pagado
further;m s lejos
purpose;objetivo
happy;contento
added;adicional
seem;parecer
taking;tomando
blood;sangre
rose;Rosa
south;Sur
beyond;m s all  de
cold;fr¡o
neither;ninguno de los dos
forward;hacia adelante
view;vista
I've;He
position;posici¢n
sound;sonido
none;ninguno
entered;ingres¢
clear;claro
road;la carretera
late;tarde
stand;estar
suppose;suponer
la;la
daughter;hija
real;verdadero
nearly;por poco
mine;m¡a
laws;leyes
knowledge;conocimiento
comes;llega
toward;hacia
bad;malo
cut;Corte
copy;Copiar
husband;marido
six;seis
France;Francia
living;viviendo
peace;paz
didn't;no lo hizo
low;bajo
north;norte
remember;recuerda
effect;efecto
natural;natural
pretty;bonita
fall;oto¤o
fair;justa
service;Servicio
below;debajo
except;excepto
American;americano
hair;pelo
London;Londres
laid;establecido
pass;pasar
led;LED
copyright;derechos de autor
doing;haciendo
army;Ej‚rcito
run;correr
horse;caballo
future;futuro
opened;abri¢
pleasure;Placer
history;historia
west;oeste
pay;pagar
red;rojo
an';un'
4;4
hath;hath
note;Nota
although;aunque
wanted;querido
gold;oro
makes;hace
desire;deseo
play;tocar
master;Maestro
office;oficina
tried;intentado
front;parte delantera
big;grande
Dr;Dr
lived;vivi¢
certainly;ciertamente
wind;viento
receive;recibir
attention;atenci¢n
government;Gobierno
unto;hasta
church;Iglesia
strength;fuerza
length;largo
company;empresa
placed;metido
paper;papel
letters;letras
probably;probablemente
glad;contento
important;importante
especially;especialmente
greater;mayor que
yourself;t£ mismo
fellow;compa¤ero
bear;soportar
opinion;opini¢n
window;ventana
ran;corri¢
faith;fe
ago;atr s
agreement;convenio
charge;cargo
beauty;belleza
lips;labios
remained;se mantuvo
arm;brazo
latter;£ltimo
duty;deber
send;enviar
distance;distancia
silence;silencio
foot;pie
wild;salvaje
object;objeto
die;morir
save;salvar
gentleman;Caballero
trees; rboles
green;verde
trouble;problema
smile;sonre¡r
books;libros
wrong;equivocado
various;varios
sleep;dormir
persons;personas
blockquote;blockquote
happened;sucedi¢
particular;especial
drew;dibuj¢
minutes;minutos
hardly;dif¡cilmente
walked;camin¢
chief;jefe
chance;oportunidad
according;seg£n
beginning;comenzando
action;acci¢n
deal;negocio
loved;amado
visit;visitar
thinking;pensando
follow;seguir
standing;de pie
knows;sabe
try;tratar
presence;presencia
heavy;pesado
sweet;dulce
plain;llanura
donations;donaciones
immediately;inmediatamente
wrote;escribi¢
mouth;boca
rich;Rico
thoughts;pensamientos
months;meses
u;u
won't;no lo har 
afraid;temeroso
Paris;Par¡s
single;£nico
joy;alegr¡a
enemy;enemigo
broken;roto
unless;a no ser que
states;estados
ship;Embarcacion
condition;condici¢n
carry;llevar
exclaimed;-exclam¢
including;incluso
filled;lleno
seeing;vidente
influence;influencia
write;escribir
boys;Ni¤os
appear;aparecer
outside;afuera
secret;secreto
parts;partes
please;por favor
appearance;apariencia
evil;maldad
march;marzo
George;Jorge
whatever;lo que
slowly;despacio
tears;l grimas
horses;caballos
places;lugares
caught;atrap¢
stay;Qu‚date
instead;en lugar de
struck;golpeado
blue;azul
York;York
impossible;imposible
period;per¡odo
sister;hermana
battle;batalla
school;colegio
Mary;Mar¡a
raised;elevado
occasion;ocasi¢n
married;casado
man's;del hombre
former;anterior
food;comida
youth;juventud
learned;aprendi¢
merely;simplemente
reach;llegar
system;sistema
twenty;veinte
dinner;cena
quiet;tranquilo
easily;f cilmente
moved;movido
afterwards;despu‚s
giving;donaci¢n
walk;caminar
stopped;interrumpido
laughed;Se ri¢
language;idioma
expression;expresi¢n
week;semana
hall;sal¢n
danger;peligro
property;propiedad
wonder;preguntarse
usual;usual
figure;figura
born;nacido
court;Tribunal
generally;en general
grew;creci¢
showed;presentado
getting;consiguiendo
ancient;antiguo
respect;el respeto
third;tercera
worth;valor
simple;sencillo
tree; rbol
leaving;dejando
remain;permanecer
society;sociedad
fight;lucha
wall;pared
result;resultado
heaven;cielo
William;Guillermo
started;empezado
command;mando
tone;tono
regard;respecto
expected;previsto
mere;mero
month;mes
beside;junto a
silent;silencio
perfect;Perfecto
experience;experiencia
street;calle
writing;escribiendo
goes;va
circumstances;circunstancias
entirely;enteramente
fresh;Fresco
duke;duque
covered;cubierto
bound;atado
east;este
wood;madera
stone;piedra
quickly;con rapidez
notice;darse cuenta
bright;brillante
Christ;Cristo
boat;bote
noble;noble
meant;quiso decir
somewhat;un poco
sudden;repentino
value;valor
c.;C.
direction;direcci¢n
chair;silla
due;debido
support;apoyo
tom;Tom s
date;fecha
waiting;espera
Christian;cristiano
village;pueblo
lives;vidas
reading;leyendo
agree;estar de acuerdo
lines;l¡neas
considered;considerado
field;campo
observed;observado
scarcely;apenas
wished;deseado
wait;Espere
greatest;mayor
permission;permiso
success;‚xito
piece;pedazo
British;brit nico
ex;ex
Charles;Charles
formed;formado
speaking;discurso
trying;dif¡cil
conversation;conversacion
proper;adecuado
hill;Cerro
music;m£sica
opportunity;oportunidad
that's;ese es
German;alem n
afternoon;tarde
cry;llorar
cost;costo
allowed;permitido
girls;muchachas
considerable;considerable
c;C
broke;en bancarrota
honour;honor
seven;Siete
private;privado
sit;sentarse
news;noticias
top;cima
scene;escena
discovered;descubierto
marriage;matrimonio
step;paso
garden;jard¡n
race;raza
begin;comenzar
per;por
individual;individual
sitting;sesi¢n
learn;aprender
political;pol¡tico
difficult;dif¡cil
bit;un poco
speech;habla
Henry;Enrique
lie;mentir
cast;emitir
eat;comer
authority;autoridad
etc.;etc‚tera
floor;suelo
ill;enfermo
ways;maneras
officers;oficiales
offered;Ofrecido
original;original
happiness;felicidad
flowers;flores
produced;producido
summer;el verano
provide;proveer
study;estudio
religion;religi¢n
picture;fotograf¡a
walls;paredes
personal;personal
America;America
watch;reloj
pleased;satisfecho
leaves;sale de
declared;declarado
hot;caliente
understood;comprendido
effort;esfuerzo
prepared;preparado
escape;escapar
attempt;intento
supposed;supuesto
killed;delicado
fast;r pido
author;autor
Indian;indio
brown;marr¢n
determined;determinado
pain;dolor
spring;primavera
takes;acepta
drawn;dibujado
soldiers;soldados
houses;casas
beneath;bajo
talking;hablando
turning;torneado
century;siglo
steps;pasos
intended;destinado a
soft;suave
straight;derecho
matters;asuntos
likely;probable
corner;esquina
trademark;marca comercial
justice;justicia
simply;simplemente
produce;Produce
trust;confianza
appears;aparece
Rome;Roma
laugh;re¡r
forget;olvidar
Europe;Europa
passage;paso
eight;ocho
closed;cerrado
ourselves;Nosotros mismos
gives;da
dress;vestido
passing;paso
terrible;terrible
required;requerido
medium;medio
efforts;esfuerzos
sake;motivo
breath;aliento
wise;sabio
ladies;se¤oras
possession;posesi¢n
pleasant;agradable
perfectly;perfectamente
o';O'
memory;memoria
usually;por lo general
grave;tumba
fixed;reparado
modern;moderno
spot;lugar
troops;tropas
rise;aumento
break;descanso
fifty;cincuenta
island;isla
meeting;reuni¢n
camp;acampar
nation;naci¢n
existence;existencia
reply;respuesta
I'd;Identificaci¢n
copies;copias
sky;cielo
touch;tocar
equal;igual
fortune;fortuna
v.;v.
shore;orilla
domain;dominio
named;llamado
situation;situaci¢n
looks;aspecto
promise;promesa
orders;pedidos
degree;la licenciatura
middle;medio
winter;invierno
plan;plan
spent;gastado
allow;permitir
pale;p lido
conduct;conducta
running;corriendo
religious;religioso
surprise;sorpresa
minute;minuto
roman;romano
cases;casos
shot;Disparo
lead;Plomo
move;moverse
names;nombres
Word;Palabra
stop;detener
higher;m s alto
et;et
father's;El padre de
threw;lanzar
worse;peor
built;construido
spoken;hablado
glass;vidrio
board;Junta
vain;vano
affairs;asuntos
instance;ejemplo
safe;a salvo
loss;p‚rdida
doctor;doctor
offer;oferta
class;clase
complete;completo
access;acceso
lower;m s bajo
wouldn't;no lo har¡a
repeated;repetido
forms;formas
darkness;oscuridad
military;militar
warm;c lido
drink;bebida
passion;pasi¢n
ones;unos
physical;f¡sico
example;ejemplo
ears;orejas
questions;preguntas
start;comienzo
lying;mintiendo
smiled;Smiled
keeping;acuerdo
spite;despecho
shown;mostrado
directly;directamente
james;James
hart;ciervo
serious;grave
hat;sombrero
dog;perro
silver;plata
sufficient;suficiente
main;principal
mentioned;mencionado
servant;servidor
pride;orgullo
crowd;multitud
train;tren
wonderful;maravilloso
moral;moral
instant;instante
associated;asociado
path;camino
greek;griego
meaning;sentido
fit;encajar
ordered;ordenado
lot;lote
he's;‚l es
